symbol,market_type,side,setup_type,score,rr,entry,sl,tp,stop_pct,tp_pct,spread_pct,volume_24h_usdt,qty,notional_usdt,margin_usdt,risk_usdt,leverage,tf_context,reason,created_at
WLDUSDT,FUTURES,SHORT,PULLBACK_SHORT,9,2.12,0.2662,0.2703,0.2575,1.5402,3.2682,0.0384,85633052.44,939.0,249.9618,83.3206,4.0499,3.0,1H=SHORT|4H=SHORT|1D=SHORT,Trend-aligned short pullback to EMA20/EMA50 area,2026-04-19 08:38:15 UTC
SUIUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.69,0.9465,0.932,0.971,1.532,2.5885,0.0106,152827562.11,369.7,349.921,349.921,5.6406,1.0,1H=RANGE|4H=RANGE|1D=RANGE,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:37:49 UTC
DOGEUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.65,0.0942,0.09304,0.09611,1.2314,2.0276,0.0106,536070768.62,3715.0,349.953,349.953,4.5894,1.0,1H=RANGE|4H=RANGE|1D=SHORT,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:37:32 UTC
NEARUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.62,1.337,1.316,1.371,1.5707,2.543,0.0751,97454122.19,261.0,348.957,348.957,5.7602,1.0,1H=SHORT|4H=RANGE|1D=RANGE,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:38:09 UTC
AVAXUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.61,9.208,9.082,9.411,1.3684,2.2046,0.0109,123185054.58,38.0,349.904,349.904,5.0679,1.0,1H=RANGE|4H=RANGE|1D=SHORT,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:37:56 UTC
ETHUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.59,2308.17,2283.46,2347.56,1.0705,1.7065,0.0004,7374250976.97,0.151,348.5337,348.5337,4.01,1.0,1H=RANGE|4H=RANGE|1D=RANGE,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:37:25 UTC
SOLUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.59,84.9,83.98,86.36,1.0836,1.7197,0.0118,1373732891.12,4.12,349.788,349.788,4.0702,1.0,1H=RANGE|4H=RANGE|1D=SHORT,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:37:28 UTC
ADAUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.59,0.2462,0.243,0.2513,1.2998,2.0715,0.0408,154324684.05,1421.0,349.8502,349.8502,4.8271,1.0,1H=RANGE|4H=RANGE|1D=SHORT,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:37:48 UTC
LINKUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.59,9.17,9.059,9.347,1.2105,1.9302,0.0109,113775730.8,38.16,349.9272,349.9272,4.5157,1.0,1H=RANGE|4H=RANGE|1D=RANGE,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:38:01 UTC
DOTUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.55,1.258,1.238,1.289,1.5898,2.4642,0.0796,96273379.76,278.2,349.9756,349.9756,5.844,1.0,1H=RANGE|4H=RANGE|1D=SHORT,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:38:10 UTC
HYPEUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.52,43.184,42.661,43.98,1.2111,1.8433,0.0023,240357696.24,8.1,349.7904,349.7904,4.5161,1.0,1H=RANGE|4H=RANGE|1D=LONG,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:37:43 UTC
XRPUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.47,1.4225,1.4079,1.4439,1.0264,1.5044,0.007,600666949.1,246.0,349.935,349.935,3.8715,1.0,1H=RANGE|4H=RANGE|1D=RANGE,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:37:31 UTC
1000PEPEUSDT,GRID_HINT,LONG,GRID_RANGE,4,1.46,0.0037515,0.0036932,0.0038368,1.554,2.2738,0.0027,276827568.65,93296.0,349.9999,349.9999,5.7192,1.0,1H=RANGE|4H=RANGE|1D=RANGE,Range structure suitable for spot/grid accumulation near lower band,2026-04-19 08:37:41 UTC
